-	/fruits	/fruits/shape	/fruits/texture	/fruits/position	/fruits/hairs	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/growth form	/habit	/habit/texture	/habit/hairs	/habit/growth form	/habit/height	/inflorescences	/inflorescences/shape	/inflorescences/position	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/position	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/length	/infructescences	/infructescences/growth form	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/texture	/internodes	/internodes/hairs	/internodes/colour	/leaves	/leaves/blade	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/dimensions	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/length	/leaves/veins	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/colour	/stems	/stems/shape	/stems/texture	/stems/hairs	/stems/growth form	/stems/colour	/stems/length	/habitat	/habitat/growth form	/habitat/colour	/habitat/altitude	
Piper paramaribense 	fruits globose or obovoid, |, glabrous, green, 	globose or ob,ovoid	-	-	glabrous	green	-	-	-	-	-	3 mm in diam.	-	stigmas 3, linear, erect, may give impression of a style, obsolete on fruit.	ob,linear	-	erect	Small shrub, sometimes trailing, 	-	-	-	to 1 m tall	-	-	-	-	floral bracts cucullate and pilose on inner side and at base,       	cucullate	-	pilose	-	erect	erect	peduncle |, glabrous or hirsute; 	-	glabrous or hirsute	-	0.5-1 cm long	-	-	rachis pubescent. 	pubescent	-	spike |, yellow or green, apiculate; 	apiculate	-	yellow or green	2-4 cm long	Infructescence erect, |, green; 	erect	green	to 7 cm long |, to 1 cm thick	thick	-	-	-	-	blade |, glandular-dotted, |, 	-	-	-	-	apex short-acuminate, maybe somewhat obtuse, 	acuminate,ob,obtuse	-	base equal or unequally attached to petiole difference at most |, cuneate to obtusish, rounded or subcordate, glabrous but veins appressed-pubescent below; 	cuneate,cuneate to ob,rounded	glabrous,pubescent	-	-	0.1 cm	7-17 x 2.5-6 cm	-	-	-	-	lance-elliptic, elliptic or elliptic-oblong	oblong	slightly bullate to smooth, coriaceous and silvery shiny or membranous	silver	Petiole |, hirsute, vaginate to middle; 	-	-	hirsute	-	0.5 cm long	pinnately veined, secondary veins (7-)8-12 per side, originating from throughout primary vein, impressed above, prominulous to strongly prominent below, tertiary veins transverse. 	-	-	-	-	-	Stem hirsute. 	-	-	hirsute	-	-	-	-	-	-	up to 1600 m	
Piper peltatum 	Fruits trigonous, glabrous.	-	-	-	glabrous	-	-	-	-	-	-	-	-	-	-	-	-	Large herb 	-	-	-	to 3 m tall	Inflorescence |, umbellate, |, sympodial branches with very short internodes, without leaves; 	-	-	-	floral bracts marginally fringed. 	-	-	-	-	erect	erect	common peduncle |, peduncles slender, 	-	-	-	common peduncle 2-8 cm long |, peduncles 1-1.5 cm long	seem to be axillary, but are reduced	red	-	-	-	spikes numerous, |, each subtended by a single prophyll, densely flowered; 	-	-	red	5-10 cm long	-	-	-	-	-	Internodes black glandular-dotted, more densely so on nodes. 	-	black	Leaves alternate, peltate;      	blade glandular-dotted, 	-	-	-	-	apex acute, 	acute	-	base nearly rounded to usually deeply cordate, glabrous except for short hairs on veins; 	cordate,rounded	glabrous,hairs	-	-	-	to 16-30 x 18-40 cm	-	-	-	-	round-ovate	ovate	-	-	petiole attached at up to 1/3 of blade, rarely near base, |, vaginate or slightly winged in lower part; 	-	-	-	-	8-20 cm long	palmately 13-15-veined, veins radiating from petiole tip, and 2 pairs originating from central vein. 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Piper perstipulare 	fruits trigonous or ovoid, glabrous, verruculose,       	ovoid	-	-	glabrous	-	-	-	-	-	-	-	-	stigmas 3, recurved, sessile.	-	-	recurved	Shrub 	-	-	-	to 1.5-4 m tall	-	-	-	-	floral bracts subtriangular, densely marginally fringed. 	subtriangular	-	-	-	erect	erect	peduncle |, glabrous; 	-	glabrous	-	1-2 cm long	-	-	-	-	-	spike |, greenish white to white, apiculate; 	apiculate	-	greenish,white	7-9.5 cm long	Infructescence 	-	-	to 11.5 cm long	-	-	-	-	-	blade |, densely glandular-dotted below, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal or unequally attached to petiole difference |, obtuse to rounded, glabrous, but veins sparsely to densely appressed or crisp-pubescent below; 	obtuse to rounded	glabrous,pubescent	-	-	0-0.3 cm	16-27 x 7-13(-14.5) cm	-	margin ciliolate, |margin enlarged; 	-	ciliolate	narrowly elliptic to elliptic-ovate	ovate	not scabrous	-	Petiole |, glabrous, vaginate to apex, 	-	-	glabrous	-	(0.5-)1-4.5 cm long	pinnately veined, secondary veins 6-7 per side, originating from lower 2/3 of primary vein, flat above, prominulous below, lower 2-3 ascending horizontally or at an angle of 45º, upper ones ascending near margin but hardly anastomosing towards top, tertiary veins reticulate and transverse between secondaries. 	flat	-	-	-	-	Stem glabrous. 	-	-	glabrous	-	-	-	-	-	-	500-1275 m	
Piper phytolaccifolium 	fruits globose, |, glabrous, with persistent style, 	globose	-	-	glabrous	-	-	-	-	-	-	1-1.5 mm in diam.	-	stigmas 3, on long style.	-	-	-	Shrub |, glabrous. 	-	glabrous	-	to 1.6 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect	erect	peduncle 	-	-	-	0.4-0.7 cm long	-	-	-	-	-	spike |, not apiculate; 	apiculate	-	-	2-4 cm long	Infructescence erect to pendent, 	erect to pendent	-	0.6 cm thick	thick	-	-	-	-	blade |, glandular-dotted to densely glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base unequally attached to petiole difference |, acute, glabrous; 	acute	glabrous	-	-	0.2-0.3 cm	9-16 x 2.5-7 cm	-	-	-	-	elliptic to ovate	ovate	membranous, not scabrous	-	Petiole |, vaginate to middle or to apex; 	-	-	-	-	0.4-1 cm long	pinnately veined, secondary veins 4-6 per side, originating from lower 2/3 of primary vein, flat above, prominulous below, tertiary veins reticulate. 	flat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	
Piper piscatorum 	fruits separate at maturity, not sulcate, globose, |, papillose at apex, glabrescent, 	globose	-	-	glabrescent	-	-	-	-	-	-	1.5 mm in diam.	-	stigmas 4, sessile.	-	-	-	Subshrub, 	-	-	-	to 1 m tall	-	-	-	-	floral bracts cucullate, glabrous. 	cucullate	-	glabrous	-	erect	erect	peduncle |, glabrous; 	-	glabrous	-	0.4-0.5(-1) cm long	-	-	rachis pubescent; 	pubescent	-	spike |, green, apiculate; 	apiculate	-	green	4-7 cm long	Infructescence 	-	-	to 6 cm long	-	upper internodes finely striate. 	-	-	-	blade |, dull green, not conspicuously glandular-dotted, |, 	-	-	-	green	apex acuminate, 	acuminate	-	base equal or almost equally attached to petiole, subacute to obtuse or rounded, glabrous; 	subacute to obtuse,obtuse or rounded	glabrous	-	-	-	(5.5-)7.5-17(-19.5) x (2.5-)3.5-6.5(-7.5) cm	-	-	-	-	elliptic-oblong to narrowly ovate	oblong,ovate	subcoriaceous	-	Petiole |, vaginate at base; 	-	-	-	-	0.5-2 cm long	pinnately veined, secondary veins (5-)7-8(-11) per side, originating from throughout primary vein, anastomosing well within margin, impressed or slightly prominulous above, prominent below, tertiary venation obsolete. 	ob	thin	-	-	-	Stem glabrous or glabrescent;      	-	-	glabrous	-	-	-	non-flooded moist forest, or along riverbanks	-	-	up to 660(-1100?) m	
Piper poiteanum 	fruits depressed globose to trigonous, |, glabrous, 	globose	-	-	glabrous	-	-	-	-	-	-	1 mm thick	thick	stigmas 3, sessile.	-	-	-	Vine or climbing shrub 	-	-	-	to 8 m tall	-	-	-	-	floral bracts cucullate-inflexed, densely marginally fringed. 	cucullate	-	-	-	presumably pendent	pendent	peduncle |, minutely pubescent or glabrous; 	-	pubescent or glabrous	-	1-1.5 cm long	-	-	-	-	-	spike |, yellow to green, apiculate; 	apiculate	-	yellow to green	7-16.5 cm long	Infructescence 	-	-	to 15 cm long	-	Upper internodes finely striate, glabrescent. 	glabrescent	-	-	blade |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal, rounded to subcordate to deeply cordate, glabrous but veins glabrous or sparsely pubescent below; 	rounded to subcordate	glabrous,pubescent	-	-	-	7-12 x 3-5 cm	-	-	-	-	oblong to ovate	oblong to ovate	membranous, bicolourous, not scabrous	-	Petiole |, glabrous or sparsely pubescent, vaginate to apex; 	-	-	glabrous,pubescent	-	1.5-2.5 cm long	palmately-pinnately veined, secondary veins 2-3 per side originating from lower 1/4 of primary vein, flat above, prominent below, tertiary veins transverse, prominulous below. 	flat	-	-	-	-	-	-	-	-	-	-	-	in understorey of primary rainforest and from secondary vegetation	-	-	10-600 m	
Piper pulleanum 	fruits obovoid to trigonous, papillose or hispidulous, 	ob,ovoid	-	-	hispidulous	-	-	-	-	-	-	ca. 2 mm wide	-	stigmas 3.	-	-	-	Shrub or treelet, 	-	-	-	to 2.5 m tall	-	-	-	-	floral bracts marginally fringed; 	-	-	-	-	erect	erect	peduncle |, brown crisp-pubescent; 	-	pubescent	brown	0.5-8(-2.5) cm long	-	-	-	-	-	spike |, white to yellowish, apiculate; 	apiculate	-	white to yellowish	5-8 cm long	Infructescence erect;      	erect	-	-	-	-	-	-	-	blade not conspicuously glandular-dotted, often drying dull greyish green, 	-	-	-	green,greyish	apex acuminate, 	acuminate	-	base unequally attached to petiole difference |, obtuse to subcordate, almost glabrous above, veins may be somewhat appressed-pubescent, appressed-pubescent below especially on veins; 	obtuse to subcordate	glabrous,pubescent	-	-	0.1-0.3 cm	11-25 x 4.5-8 cm	-	-	-	-	ovate or elliptic-ovate	ovate	somewhat scabrous and bullate	-	Petiole |, densely brown-pubescent; 	-	-	pubescent	brown	0.3-0.7(-1) cm long	pinnately veined, secondary veins 3-4(-5), originating from lower 1/2 of primary vein, ascending at an angle of ca. 45º, flat to prominulous above, prominent below, tertiary veins transverse. 	flat	-	-	-	-	Stem densely retrorsely crisp-pubescent. 	-	-	pubescent	-	-	-	-	-	-	to 260 m	
Piper remotinervium 	Fruits trigonous, somewhat exserted when mature, hirsute,      	-	-	-	hirsute	-	-	-	-	-	-	-	-	stigmas sessile.	-	-	-	Shrub or treelet, 	-	-	-	to 1-3.5 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect or horizontally oriented	erect	peduncle |, pubescent; 	-	pubescent	-	1.5-2 cm long	-	-	-	-	-	spike |, creamish white to green, hardly apiculate; 	apiculate	-	cream,green,white,white to green	10-20 cm long	-	-	-	-	-	-	-	-	-	blade |, not conspicuously glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal or unequally attached to petiole difference |, subcordate or obtusish, pubescent on both surfaces, veins more densely so; 	subcordate or ob	pubescent	-	-	0-0.3(-0.7) cm	17-30 x 10-17 cm	-	-	-	-	broadly ovate or ovate	ovate	somewhat scabrous when dried	-	Petiole |, densely pubescent; 	-	-	pubescent	-	1.5-2 cm long	pinnately veined, secondary veins 5-7 per side, originating from lower 1/2 of primary vein, prominent below, tertiary venation widely reticulate, veinlets almost transverse. 	-	-	-	-	-	Stem and branches sparsely to densely pubescent. 	-	-	pubescent	-	-	-	in (dense) forest, 	-	-	20-300 m	
Piper reticulatum 	Fruits greenish white, obovoid or oblongoid, |, puberulous, with glabrous disc at apex, separate at maturity, 	ovoid or oblongoid	-	-	glabrous,puberulous	greenish,white	-	-	-	-	-	1.5 x 1.2-1.5 mm	-	stigmas 3(-4), sessile.	-	-	-	Treelet or shrub, sometimes scandent, |, tall. 	-	-	scandent	to 10 m	-	-	-	-	floral bracts glabrous or sparsely puberulous. 	-	-	glabrous,puberulous	-	erect	erect	peduncle |, glabrous or minutely puberulous; 	-	glabrous,puberulous	-	0.7-2 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, white or greyish, not aciculate; 	-	-	white or greyish	6-12(-15) cm long	-	-	-	-	-	-	-	-	-	blade |, not glandular-dotted, |, 	-	-	-	-	apex acute or acuminate, 	acute or acuminate	-	base equal, obtuse or rounded; 	obtuse or rounded	-	-	-	-	14-30 x 7-18 cm	-	-	-	-	ovate or broadly ovate	ovate	membranous or firmly chartaceous	-	Petiole |, glabrous, vaginate at base; 	-	-	glabrous	-	3-12 cm long	palmately 5-7(-9)-veined, veins plane to impressed above, very prominent below, tertiary veins transverse. 	-	-	-	-	-	Stem often with spines opposite petiole;      |, nodes glandular-dotted. 	-	-	-	-	-	-	recorded mainly from secondary vegetation, 	-	-	to 450 m	
Piper rudgeanum 	fruits ovoid, |, glabrous, with persistent short style, 	ovoid	-	-	glabrous	-	-	-	-	-	-	2 mm in diam.	-	stigmas 3-4 recurved on short, persistent style.	-	-	recurved	Shrub. 	-	-	-	-	-	-	-	-	floral bracts pilose on inner side and at base. 	-	-	pilose	-	pendent	pendent	peduncle rather stout, |, glabrous; 	-	glabrous	-	0.5-0.7 cm long	-	-	-	-	-	spike |, not apiculate; 	apiculate	-	-	1 cm long	Infructescence recurved, 	recurved	-	1 cm long |, 0.3 cm thick	thick	-	-	-	-	blade |, densely glandular-dotted on both surfaces, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base almost equal, acute to cuneate, glabrous; 	acute to cuneate	glabrous	-	-	-	9-13 x 2-4 cm	-	-	-	-	narrowly ovate or lance-elliptic	ovate	not scabrous	-	Petiole |, vaginate to apex; 	-	-	-	-	0.3-2 cm long	pinnately veined, secondary veins 7-10 per side, originating from throughout primary vein, flat above, flat below, marginally loop-connected, tertiary venation reticulate. 	flat	-	-	-	-	Stem glabrous, glandular. 	-	-	glabrous	-	-	-	-	-	-	-	
Piper rupununianum 	Fruits trigonous to obpyramidal, glabrous, glandular, green,      	ob	-	-	glabrous	green	-	-	-	-	-	-	-	stigmas 3, minute, sessile.	-	-	-	Shrub or tree, 	-	-	-	1-2 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect or pendent	erect or pendent	peduncle 	-	-	-	1-1.5(-3) cm long	-	-	-	-	-	spike |, apiculate; 	apiculate	-	-	5-9 cm long	-	-	-	-	-	-	-	-	-	blade not glandular-dotted, 	-	-	-	-	apex long-acuminate, 	acuminate	-	base equal or almost equally attached to petiole, acute, glabrous; 	acute	glabrous	-	-	-	14-20 x 5-7 cm	-	-	-	-	narrowly elliptic or narrowly elliptic-oblong	oblong	-	-	Petiole |, glabrous, vaginate usually at base; 	-	-	glabrous	-	0.3-0.6 cm long	pinnately veined, secondary veins 3-4 per side, originating from lower 1/2 to lower 2/3 of primary vein, ascending at an angle of 45-60º, plane above, prominulous below, tertiary veins widely reticulate. 	-	-	-	-	-	Stem glabrous or may be sparsely appressed-pubescent. 	-	-	glabrous,pubescent	-	-	-	in clearings, damp places, open and mixed forest, shady rocky areas, 	-	-	from sea level to 1600 m	
Piper salicifolium 	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Shrub. 	-	-	-	-	-	-	-	-	floral bracts densely marginally fringed; 	-	-	-	-	-	-	peduncle 	-	-	-	ca. 1 cm long	-	-	-	-	-	spike 	-	-	-	ca. 4 cm long	-	-	-	-	-	-	-	-	-	blade |, conspicuously dark-glandular-dotted below, |, 	-	-	-	-	apex long-acuminate, 	acuminate	-	base equal, obtuse or subacute, densely villous below; 	obtuse or subacute	villous	-	-	-	5-7.5 x 1-1.5 cm	-	margin ciliate, 	-	ciliate	narrowly elliptic or narrowly ovate	ovate	somewhat scabrous above	-	Petiole |, villous; 	-	-	villous	-	ca. 0.5 cm long	pinnately veined, secondary veins ca. 5 per side, originating from lower 1/2 of primary vein, tertiary veins more or less parallel, prominulous below. 	-	-	-	-	-	Stem retrorsely villous. 	-	-	villous	-	-	-	-	-	-	-	
Piper trichoneuron 	Fruits oblongoid, glandular, hirsute,      	oblongoid	-	-	hirsute	-	-	-	-	-	-	-	-	stigmas 3, obtuse, sessile.	obtuse	-	-	Shrub, sometimes treelet, 	-	-	-	to 2 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect	erect	peduncle |, pubescent; 	-	pubescent	-	1 cm long to ca. 2 cm in fruit	-	-	-	-	-	spike |, often reddish or pink, apiculate; 	apiculate	-	reddish or pink	8-9 cm long, in fruit to 11 cm long	-	-	-	-	-	-	-	-	-	blade sometimes with pale band along primary vein, |, more or less orange glandular-dotted on lower surface, sometimes somewhat scabrous, |, 	-	scabrous	-	orange	apex (long-)acuminate, 	acuminate	-	base equal or unequally attached to petiole difference |, obtuse to rounded to subcordate occasionally cuneate, glabrous above, crisp-pubescent on veins below; 	cuneate,ob,obtuse,obtuse to rounded	glabrous,pubescent	-	-	0-0.5 cm	12-33 x 5-13 cm	-	-	-	-	(narrowly) elliptic, elliptic-oblong or (narrowly) ovate	oblong,ovate	coriaceous	-	Petiole often stout, |, densely crisp-pubescent, vaginate to apex; 	-	-	pubescent	-	to 1 cm long	pinnately veined, secondary veins 4-7(-11) per side, originating from lower 1/2 to 2/3 of primary vein, not anastomosing, impressed above, rather prominent below, tertiary veins widely reticulate, transverse. 	-	-	-	-	-	Stem crisp-pubescent. 	-	-	pubescent	-	-	-	-	-	-	-	
Piper tuberculatum 	Fruits laterally compressed, rounded, glabrous,      	rounded	-	lateral	glabrous	-	-	-	-	-	-	-	-	stigmas 3-4, sessile.	-	-	-	Shrub or treelet |, stem minutely hirtellous, usually somewhat tuberculate. 	tuberculate	hirtellous	-	to 3 m tall	-	-	-	-	floral bracts |, marginally fringed, conspicuously arranged in whorls. 	-	-	-	-	erect	erect	peduncle 	-	-	-	0.5-2 cm long	-	-	-	-	-	spike 	-	-	-	2-11 cm long	-	-	-	-	-	-	-	-	-	-	-	-	-	-	apex obtuse, rounded or slightly acute, 	acute,ob,obtuse,rounded	-	base unequally attached to petiole difference |, shorter side acute to obtuse, longer side rounded or cordate, glabrous or glabrescent above, minutely pubescent on veins below; 	acute to obtuse,rounded,rounded or cordate	glabrous,pubescent	-	-	0.2-0.7 cm	4-12 x 2-6 cm	-	-	-	-	broadly ovate-elliptic	ovate	-	-	Petiole tuberculate, |, minutely puberulent, glabrescent, vaginate to base of blade and extending shortly; 	tuberculate	-	glabrescent,puberulent	-	0.1-0.7 cm long	pinnately veined, secondary veins 4-10, originating from throughout primary vein, anastomosing near margin. 	-	-	-	-	-	-	-	-	-	-	-	-	mostly in dry areas.	-	-	-	
Piper wachenheimii 	Fruits depressed globose or obovoid, |, pubescent or hirtellous, separate from each other, 	globose or ob,ovoid	-	-	pubescent or hirtellous	-	-	-	-	-	-	ca. 1 mm thick	thick	stigmas 3, sessile.	-	-	-	Small shrub or even small treelet, |, nodose in lower part. 	-	-	-	to 1.5 m tall	-	-	-	-	floral bracts densely marginally fringed. 	-	-	-	-	erect	erect	peduncle |, crisp-pubescent; 	-	pubescent	-	to 0.5 cm long	-	-	rachis glabrous; 	glabrous	-	spike |, reddish, pinkish or brownish, apiculate; 	apiculate	-	pinkish or brownish,reddish	to 8(-12?) cm long	-	-	-	-	-	-	-	-	-	blade |, glandular-dotted, |, 	-	-	-	-	apex acuminate, 	acuminate	-	base equal or almost equally attached to petiole, acute or cuneate, glabrous above, erect-pubescent below, more so on veins; 	acute or cuneate	glabrous,pubescent	erect	-	-	12-15 x 3.5-5 cm	-	-	-	-	lance-elliptic to oblanceolate	ob	not scabrous	-	Petiole |, densely pubescent or hirsute, vaginate at base; 	-	-	pubescent or hirsute	-	0.3-0.5 cm long	pinnately veined, secondary veins 4-5 per side, originating from lower 2/3 of primary vein, not anastomosing, plane to impressed above, prominulous or prominent below, tertiary veins reticulate. 	-	-	-	-	-	Stem densely pubescent or hirsute, hairs often reddish brown (	-	-	hairs,hirsute,pubescent,pubescent or hirsute	-	brown,reddish	-	in primary forest, and occasionally from secondary vegetation, 	-	-	from sea level to 600 m	
