-	/fruits	/fruits/shape	/fruits/shape	/fruits/texture	/fruits/texture	/fruits/position	/fruits/position	/fruits/hairs	/fruits/hairs	/fruits/colour	/fruits/colour	/fruits/apex	/fruits/apex/shape	/fruits/apex/shape	/fruits/apex/texture	/fruits/apex/texture	/fruits/apex/position	/fruits/apex/position	/fruits/apex/hairs	/fruits/apex/hairs	/fruits/dimensions (merged)	/fruits/dimensions (merged)/length	/fruits/dimensions (merged)/length/minimum	/fruits/dimensions (merged)/length/maximum	/fruits/dimensions (merged)/width	/fruits/dimensions (merged)/width/minimum	/fruits/dimensions (merged)/width/maximum	/fruits/dimensions (merged)/texture	/fruits/dimensions (merged)/texture	/fruits/stigma	/fruits/stigma/minimum	/fruits/stigma/maximum	/fruits/stigma/shape	/fruits/stigma/shape	/fruits/stigma/hairs	/fruits/stigma/hairs	/fruits/stigma/growth form	/fruits/stigma/growth form	/habit	/habit/minimum	/habit/maximum	/habit/texture	/habit/texture	/habit/hairs	/habit/hairs	/habit/growth form	/habit/growth form	/habit/height	/habit/height/minimum	/habit/height/maximum	/inflorescences	/inflorescences/minimum	/inflorescences/maximum	/inflorescences/shape	/inflorescences/shape	/inflorescences/position	/inflorescences/position	/inflorescences/colour	/inflorescences/colour	/inflorescences/floral bracts	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/shape	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/margin type	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/hairs	/inflorescences/floral bracts/colour	/inflorescences/floral bracts/colour	/inflorescences/growth form	/inflorescences/growth form	/inflorescences/growth form/growth form	/inflorescences/growth form/growth form	/inflorescences/peduncle	/inflorescences/peduncle/minimum	/inflorescences/peduncle/maximum	/inflorescences/peduncle/shape	/inflorescences/peduncle/shape	/inflorescences/peduncle/hairs	/inflorescences/peduncle/hairs	/inflorescences/peduncle/colour	/inflorescences/peduncle/colour	/inflorescences/peduncle/length	/inflorescences/peduncle/length/minimum	/inflorescences/peduncle/length/maximum	/inflorescences/position	/inflorescences/position/colour	/inflorescences/position/colour	/inflorescences/rachises	/inflorescences/rachises/hairs	/inflorescences/rachises/hairs	/inflorescences/rachises/colour	/inflorescences/rachises/colour	/inflorescences/spikes	/inflorescences/spikes/shape	/inflorescences/spikes/shape	/inflorescences/spikes/growth form	/inflorescences/spikes/growth form	/inflorescences/spikes/colour	/inflorescences/spikes/colour	/inflorescences/spikes/length	/inflorescences/spikes/length/minimum	/inflorescences/spikes/length/maximum	/infructescences	/infructescences/growth form	/infructescences/growth form	/infructescences/colour	/infructescences/colour	/infructescences/dimensions (merged)	/infructescences/dimensions (merged)/length	/infructescences/dimensions (merged)/width	/infructescences/dimensions (merged)/minimum	/infructescences/dimensions (merged)/maximum	/infructescences/dimensions (merged)/texture	/infructescences/dimensions (merged)/texture	/internodes	/internodes/minimum	/internodes/maximum	/internodes/hairs	/internodes/hairs	/internodes/colour	/internodes/colour	/leaves	/leaves/minimum	/leaves/maximum	/leaves/blade	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/texture	/leaves/blade/texture	/leaves/blade/hairs	/leaves/blade/hairs	/leaves/blade/colour	/leaves/blade/colour	/leaves/blade/apex	/leaves/blade/apex/shape	/leaves/blade/apex/shape	/leaves/blade/apex/hairs	/leaves/blade/apex/hairs	/leaves/blade/base	/leaves/blade/base/shape	/leaves/blade/base/shape	/leaves/blade/base/hairs	/leaves/blade/base/hairs	/leaves/blade/base/growth form	/leaves/blade/base/growth form	/leaves/blade/base/colour	/leaves/blade/base/colour	/leaves/blade/base/differential distance	/leaves/blade/base/differential distance/minimum	/leaves/blade/base/differential distance/maximum	/leaves/blade/dimensions	/leaves/blade/dimensions/length	/leaves/blade/dimensions/length/minimum	/leaves/blade/dimensions/length/maximum	/leaves/blade/dimensions/width	/leaves/blade/dimensions/width/minimum	/leaves/blade/dimensions/width/maximum	/leaves/blade/dimensions/minimum	/leaves/blade/dimensions/maximum	/leaves/blade/dimensions/growth form	/leaves/blade/dimensions/growth form	/leaves/blade/margins	/leaves/blade/margins/minimum	/leaves/blade/margins/maximum	/leaves/blade/margins/shape	/leaves/blade/margins/shape	/leaves/blade/margins/hairs	/leaves/blade/margins/hairs	/leaves/blade/shape	/leaves/blade/shape	/leaves/blade/shape/minimum	/leaves/blade/shape/maximum	/leaves/blade/shape/shape	/leaves/blade/shape/shape	/leaves/blade/texture	/leaves/blade/texture/colour	/leaves/blade/texture/colour	/leaves/petiole	/leaves/petiole/minimum	/leaves/petiole/maximum	/leaves/petiole/texture	/leaves/petiole/texture	/leaves/petiole/position	/leaves/petiole/position	/leaves/petiole/hairs	/leaves/petiole/hairs	/leaves/petiole/colour	/leaves/petiole/colour	/leaves/petiole/length	/leaves/petiole/length/minimum	/leaves/petiole/length/maximum	/leaves/veins	/leaves/veins/minimum	/leaves/veins/maximum	/leaves/veins/shape	/leaves/veins/shape	/leaves/veins/texture	/leaves/veins/texture	/leaves/veins/position	/leaves/veins/position	/leaves/veins/hairs	/leaves/veins/hairs	/leaves/veins/colour	/leaves/veins/colour	/stems	/stems/shape	/stems/shape	/stems/texture	/stems/texture	/stems/hairs	/stems/hairs	/stems/growth form	/stems/growth form	/stems/colour	/stems/colour	/stems/length	/stems/length/minimum	/stems/length/maximum	/habitat	/habitat/growth form	/habitat/growth form	/habitat/colour	/habitat/colour	/habitat/altitude	/habitat/altitude/minimum	/habitat/altitude/maximum
Piper dumosum 	Fruits obovoid to trigonous, glabrous, depressed at apex when dried,      	4306	ob,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3, erect.	-	-	0	-	0	-	43	erect	Shrub or treelet 	-	-	0	-	0	-	0	-	to 3 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed. 	0	-	0	-	0	-	0	-	106	pendent	106	pendent	peduncle |, slender, glabrous, green to reddish; 	-	-	0	-	71	glabrous	829	green to reddish	1-1.2 cm long	1	1.2	-	0	-	-	0	-	0	-	spike |, white, yellowish to green, not apiculate; 	616	apiculate	0	-	2415	white,yellowish	5-8 cm long	5	8	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex short-acuminate, 	124	acuminate	0	-	base equal or almost equally attached to petiole, acute, truncate to subcordate, sparsely villous above, more densely so below; 	247	acute,subcordate,truncate,truncate to subcordate	596	villous	0	-	0	-	-	-	-	18-22(-27) x 5.5-7.5(-17) cm	-	-	-	-	-	-	18	22	0	-	-	-	-	0	-	0	-	0	lance-elliptic to ovate to broadly ovate	-	-	5167	ovate	may be somewhat bullate in vivo	0	-	Petiole 0.5-2(to 6 in fertile twigs) cm long, dark-villous (hairs at least 	0.5	6	0	-	0	-	106	hairs,villous	0	-	0.1 cm long	-	-	pinnately veined, secondary veins 5-6 per side, originating from lower 3/4 of primary vein. 	5	6	0	-	0	-	0	-	0	-	0	-	Stem glabrous, densely dark glandular-dotted. 	0	-	0	-	71	glabrous	0	-	0	-	-	-	-	mainly from dense forest, or swampy places, 	0	-	0	-	up to 700 m	-	-
Piper eucalyptifolium 	Fruits depressed globose, glabrous,      	3814	globose	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3(-4), sessile.	-	-	0	-	0	-	0	-	Shrub or treelet |, glabrous except for subnodal lines of hairs on stem. 	-	-	0	-	71	glabrous,hairs	0	-	to 2 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts cucullate, inflexed, glabrous. 	2215	cucullate	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle |, glabrescent; 	-	-	0	-	71	glabrescent	0	-	ca. 0.5 cm long	-	-	-	0	-	-	0	-	0	-	spike |, apiculate; 	616	apiculate	0	-	0	-	0.5-3 cm long	0.5	3	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not conspicuously glandular-dotted, dark green above, pale below, |, 	0	-	0	-	0	-	782	green	apex long-acuminate, 	124	acuminate	0	-	base almost equal, acute, glabrous; 	247	acute	71	glabrous	0	-	0	-	-	-	-	6-16 x 1.5-3 cm	16	-	-	1.5	-	-	6	16	0	-	-	-	-	0	-	0	-	0	narrowly lanceolate	-	-	0	-	not scabrous	0	-	Petiole |, ciliate, vaginate to apex; 	-	-	0	-	0	-	1	ciliate	0	-	0.3-0.7 cm long	0.3	0.7	pinnately veined, secondary veins 8-15 per side, originating from throughout primary vein, plane above, slightly prominulous below, tertiary veins obsolete. 	8	15	4306	ob	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	0	-	-	-	-	in dense forest understorey, 	0	-	0	-	up to 639 m	-	639
Piper fanshawei 	Fruits obovoid, puberulent at depressed apex,      	4306	ob,ovoid	0	-	0	-	351	puberulent	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas sessile.	-	-	0	-	0	-	0	-	Small shrub 	-	-	0	-	0	-	0	-	to 2 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts dorsally fringed, crowded. 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle filiform, 	-	-	3322	filiform	0	-	0	-	1-1.5 cm long	-	-	-	0	-	-	0	-	0	-	spike |, apiculate; 	616	apiculate	0	-	0	-	2 cm long	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not glandular- but finely pellucid-dotted, 	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base equal or unequally attached to petiole difference |, acute, glabrous; 	247	acute	71	glabrous	0	-	0	-	0.2 cm	-	-	10-14 x 3-4.5 cm	14	-	-	3-4.5	3	4.5	10	14	0	-	margin not ciliate,       	-	-	0	-	1	ciliate	0	elliptic(-oblong)	-	-	4798	oblong	not scabrous	0	-	Petiole |, glabrous, vaginate below middle; 	-	-	0	-	0	-	71	glabrous	0	-	1-2 cm long	1	2	pinnately veined, secondary veins 5-6 per side, originating from throughout primary vein, plane or inconspicuous above, slightly prominulous below, tertiary veins inconspicuous. 	5	6	0	-	0	-	0	-	0	-	0	-	Stem glabrous. 	0	-	0	-	71	glabrous	0	-	0	-	-	-	-	-	0	-	0	-	600-1500 m	600	1500
Piper flexuosum 	Fruits depressed globose or ovoid, glabrous,      	3900	globose or ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas sessile.	-	-	0	-	0	-	0	-	Shrub to 2? m tall. 	-	2	0	-	0	-	0	-	-	-	-	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed. 	0	-	0	-	0	-	0	-	0	erect or slightly curved	43	erect	peduncle |, crisp-pubescent; 	-	-	0	-	386	pubescent	0	-	0.5 cm long	-	-	-	0	-	-	0	-	0	-	spike |, apiculate; 	616	apiculate	0	-	0	-	4-6 cm long	-	-	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acute, 	247	acute	0	-	base almost equally attached to petiole, unequally obtuse or acute, glabrous except for veins crisp-pubescent below; 	4927	obtuse or acute	71	glabrous,pubescent	0	-	0	-	-	-	-	8-13 x 3.5-5.5 cm	13	-	-	3.5-5.5	3.5	5.5	8	13	0	-	-	-	-	0	-	0	-	0	elliptic	-	-	0	-	not scabrous	0	-	Petiole |, crisp-pubescent, vaginate to apex; 	-	-	0	-	0	-	386	pubescent	0	-	0.5 cm long	-	-	pinnately veined, secondary veins 5-7 per side, originating from throughout primary vein, prominent below, tertiary veins inconspicuously reticulate. 	5	7	0	-	0	-	0	-	0	-	0	-	Stem densely crisp- pubescent. 	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Piper fuligineum 	fruits globose to trigonous, |, glabrous, 	3814	globose	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	0.8-1 mm wide	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Stout herb or slender shrub, 	-	-	0	-	0	-	0	-	ca. 1 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts ciliate and hirtellous. 	0	-	0	-	1	ciliate,hirtellous	0	-	43	erect	43	erect	peduncle 	-	-	0	-	0	-	0	-	0.2-0.6 cm long	0.2	0.6	-	0	-	rachis glabrous or sparsely pubescent; 	71	glabrous,pubescent	0	-	spike |, green, not apiculate; 	616	apiculate	0	-	782	green	3.5-7 cm long	3.5	7	Infructescence erect, 	43	erect	0	-	3.5-7 cm long	-	-	3.5	7	0	-	-	-	-	0	-	0	-	-	-	-	blade |, not conspicuously glandular-dotted, yellow-green, |, 	0	-	0	-	0	-	782	green,yellow	apex long-acuminate to obtuse, 	203	acuminate to obtuse	0	-	base equal or almost equally attached to petiole, unequally cordate, lepidote-scabrid above, lower surface and veins hirsute; 	2092	cordate	141	hirsute,lepidote	0	-	0	-	-	-	-	5-12 x 2.5-6.5 cm	12	-	-	2.5-6.5	-	-	5	12	0	-	-	-	-	0	-	0	-	5167	ovate	-	-	5167	ovate	scabrous	0	-	Petiole |, pubescent, vaginate at base; 	-	-	0	-	0	-	386	pubescent	0	-	0-0.4 cm long	0	0.4	pinnately veined, secondary veins 3-5 per side, originating from lower 1/3 of primary vein, impressed above, prominent below. 	3	5	0	-	0	-	0	-	0	-	0	-	Stem pubescent. 	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	on edges of streams in savanna areas, in Brazil 	0	-	0	-	up to 1200 m	-	1200
Piper glabrescens 	fruits depressed globose or subtetragonous, |, glabrous, glandular, 	3814	globose	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	1.2 mm in diam.	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub 	-	-	0	-	0	-	0	-	to 1.5-2 m tall	1.5	1.5	-	-	-	0	-	0	-	0	-	floral bracts glabrous to papillate. 	0	-	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle |, glabrous; 	-	-	0	-	71	glabrous	0	-	to 1.5 cm long	-	-	-	0	-	-	0	-	0	-	spike |, apiculate; 	616	apiculate	0	-	0	-	to 6 cm long	-	6	Infructescence 	0	-	0	-	to 0.5 cm thick	-	-	-	-	664	thick	-	-	-	0	-	0	-	-	-	-	blade |, densely glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base equal or unequally attached to petiole difference 	0	-	0	-	0	-	0	-	0.2 cm	-	-	14-28 x 7-14 cm	28	-	-	7	-	-	14	28	0	-	-	-	-	0	-	0	-	0	elliptic to ovate	-	-	5167	ovate	not scabrous	0	-	Petiole |, vaginate to apex, glabrescent; 	-	-	0	-	0	-	71	glabrescent	0	-	1-3.2 cm long	1	3.2	pinnately veined, secondary veins 5-7 per side, originating from lower 2/3 of primary vein, slightly impressed above, prominulous below, tertiary veins more or less parallel. 	5	7	0	-	0	-	0	-	0	-	0	-	Stem glabrescent. 	0	-	0	-	71	glabrescent	0	-	0	-	-	-	-	-	0	-	0	-	up to 900 m	-	900
Piper guianense 	Fruits without style,      	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3?, sessile.	-	-	0	-	0	-	0	-	Small shrub, often scrambling, rooting at lower nodes. 	-	-	0	-	0	-	0	-	-	-	-	-	-	-	0	-	0	-	0	-	floral bracts rounded to cucullate, sparsely fringed, with central dark gland; 	6311	rounded to cucullate	0	-	0	-	0	-	43	erect	43	erect	peduncle filiform, |, sparsely pubescent; 	-	-	3322	filiform	386	pubescent	0	-	to 3(-4) cm long	-	3	-	0	-	-	0	-	0	-	spike |, apiculate; 	616	apiculate	0	-	0	-	1-1.7 cm long	1	1.7	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, somewhat glandular-dotted below, |, 	0	-	0	-	0	-	0	-	apex acute to acuminate, 	250	acute to acuminate	0	-	base equal, obtuse, truncate, rounded or subacute, glabrous except sparsely minutely pubescent veins above, minutely crisp-pubescent on veins below; 	4306	ob,obtuse,rounded,truncate	71	glabrous,pubescent	0	-	0	-	-	-	-	5-8(-13) x 1.5-3.5(-6.3) cm	-	-	-	-	-	-	5	8	0	-	margin ciliate towards apex, 	-	-	0	-	1	ciliate	0	narrowly ovate to ovate	-	-	5167	ovate	not scabrous	0	-	Petiole |, sparsely pubescent or glabrescent, vaginate to apex; 	-	-	0	-	0	-	392	pubescent or glabrescent	0	-	0.7-1.5 cm long	0.7	1.5	pinnately veined, secondary veins 4-5(-7) per side, originating from lower 1/3 or more of primary vein, 2 originating from base, tertiary venation reticulate obsolete above, slightly visible below, primary vein slightly impressed above, prominulous below. 	4	5	4306	ob	0	-	0	-	0	-	0	-	Stem ribbed, glabrous, younger parts sparsely pubescent. 	0	-	0	-	71	glabrous,pubescent	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Piper hirtilimbum 	-	0	-	0	-	0	-	0	-	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	0	-	Shrub 	-	-	0	-	0	-	0	-	to 0.5 m tall	-	0.5	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed; 	0	-	0	-	0	-	0	-	106	pendent	106	pendent	peduncle |, long-hirsute; 	-	-	0	-	141	hirsute	0	-	0.5-1.2 cm long	0.5	1.2	-	0	-	rachis presumably puberulent; 	351	puberulent	0	-	spike |, hardly apiculate; 	616	apiculate	0	-	0	-	1-3 cm long	1	3	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base unequally attached to petiole difference |, rounded to subcordate, pilose above and below; 	6309	rounded to subcordate	316	pilose	0	-	0	-	0-0.8 cm	0	0.8	16-25 x 6-9.5 cm	25	-	-	6-9.5	6	9.5	16	25	0	-	margin long-ciliate, 	-	-	0	-	1	ciliate	0	obovate to elliptic or elliptic-oblong	-	-	4798	oblong,ovate	not scabrous	0	-	Petiole |, long-hirsute, vaginate to apex (or to middle); 	-	-	0	-	0	-	141	hirsute	0	-	1-3 cm long	1	3	pinnately veined, secondary veins 5-8 per side, originating from lower 2/3 of primary vein, flat above, prominent below, tertiary veins parallel and reticulate. 	5	8	3445	flat	0	-	0	-	0	-	0	-	Stem long-hirsute, hairs 	0	-	0	-	106	hairs,hirsute	0	-	0	-	-	-	-	in dense forest on brown sand, 	0	-	285	brown	240-700 m	240	700
Piper hispidum 	fruits oblongoid to rounded-trigonous, hirsute,       	4899	oblongoid to rounded	0	-	0	-	141	hirsute	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub or subshrub, occasionally with scrambling branches, 	-	-	0	-	0	-	0	-	2-3 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts densely marginally fringed, 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle |, pubescent; 	-	-	0	-	386	pubescent	0	-	to 1 cm long	-	-	-	0	-	-	0	-	0	-	spike |, white, cream or pale green, not apiculate; 	616	apiculate	0	-	498	cream,green,white	8-14 cm long	8	14	Infructescence grey or grey green;      	0	-	782	green,grey	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade |, glandular-dotted, often greyish below, |, 	0	-	0	-	0	-	853	greyish	apex acuminate, 	124	acuminate	0	-	base unequally attached to petiole difference |, obliquely rounded or cuneate with one side occasionally cordulate, lepidote-scabrid above, veins hirsute on both surfaces; 	4306	ob,oblique,rounded	141	hirsute,lepidote	0	-	0	-	0.2-0.6 cm	0.2	0.6	11-23 x 4-11 cm	23	-	-	4	-	-	11	23	0	-	-	-	-	0	-	0	-	0	elliptic or elliptic-ovate	-	-	5167	ovate	scabrous often on both surfaces	0	-	Petiole |, hirsute; 	-	-	0	-	0	-	141	hirsute	0	-	0.5-1 cm long	-	-	pinnately veined, secondary veins 5-6 per side, originating from lower 1/2 of primary vein, tertiary veins transversely reticulate. 	5	6	0	-	0	-	0	-	0	-	0	-	Stem hirsute to glabrescent. 	0	-	0	-	146	hirsute to glabrescent	0	-	0	-	-	-	-	in secondary vegetation, on creek banks in forest and in dense forest, 	0	-	0	-	from 0 to 700 m	-	-
Piper hostmannianum 	fruits oblongoid or trigonous, glabrous to puberulent at apex,       	4798	oblongoid	0	-	0	-	90	glabrous to puberulent	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 3, sessile.	-	-	0	-	0	-	0	-	Shrub, subshrub or treelet 	-	-	0	-	0	-	0	-	to 7 m tall	-	7	-	-	-	0	-	0	-	0	-	floral bracts densely crowded, spirally arranged, densely marginally fringed. 	0	-	0	-	0	-	0	-	43	erect	43	erect	peduncle |, crisp-pubescent; 	-	-	0	-	386	pubescent	0	-	1 cm long, to 1.5 cm in fruit	-	1.5	-	0	-	-	0	-	0	-	spike |, white or yellow; 	0	-	0	-	2485	white or yellow	10-12 cm long	-	-	Infructescence green, 	0	-	782	green	to 12 cm long |, 4 mm wide	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade not conspicuously glandular-dotted, shiny, 	0	-	0	-	0	-	0	-	apex acuminate, 	124	acuminate	0	-	base unequally attached to petiole difference |, obtuse, rounded to subcordate, sometimes acute, glabrous above, below densely appressed pubescent on veins; 	247	acute,subcordate,ob,obtuse,rounded,rounded to subcordate	71	glabrous,appressed pubescent	0	-	0	-	0-0.7 cm	0	0.7	10-25 x 2.5-13 cm	25	-	-	2.5	-	-	10	25	0	-	margin not ciliate, 	-	-	0	-	1	ciliate	0	broadly elliptic or broadly to narrowly ovate	-	-	5167	ovate	-	0	-	petiole |, crisp-pubescent, vaginate to apex; 	-	-	0	-	0	-	386	pubescent	0	-	0.5-1(-1.5) cm long	0.5	1	pinnately veined, secondary veins 3-6 per side, originating from lower 3/4 of primary vein, at an angle of 60º, anastomosing, soon abruptly ascending at an angle of 120º, intersecondaries conspicuous, tertiary veins widely reticulate. 	3	6	0	-	0	-	0	-	0	-	0	-	Stem crisp-pubescent. 	0	-	0	-	386	pubescent	0	-	0	-	-	-	-	-	0	-	0	-	-	-	-
Piper humistratum 	fruits oblongoid, sunken, glabrous,       	4798	oblongoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	-	-	-	-	-	-	-	0	-	stigmas 4, sessile.	-	-	0	-	0	-	0	-	Creeping herb or subshrub to 	-	-	0	-	0	-	0	-	0.35 m tall	-	-	-	-	-	0	-	0	-	0	-	floral bracts glabrous, slightly cucullate. 	2215	cucullate	0	-	71	glabrous	0	-	43	erect	43	erect	peduncle |, villous; 	-	-	0	-	596	villous	0	-	1.5-2.5 cm long	1.5	2.5	-	0	-	-	0	-	0	-	spike |, green or yellow or rosish, not apiculate; 	616	apiculate	0	-	852	green or yellow	2-4 cm long	2	4	Infructescence occasionally pendent;      	106	pendent	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade discolourous, |, not conspicuously glandular-dotted, |, 	0	-	0	-	0	-	0	-	apex obtuse or acutish, 	4921	obtuse	0	-	base unequally attached to petiole difference |, obliquely rounded, glabrous above, veins brown-villous below; 	4675	oblique,rounded	71	glabrous,villous	0	-	285	brown	0.2-0.5 cm	0.2	0.5	9-15(-18) x 5-7(-8.5) cm	-	-	-	-	-	-	9	15	0	-	-	-	-	0	-	0	-	0	elliptic to broadly elliptic	-	-	0	-	not scabrous	0	-	Petiole |, villous; 	-	-	0	-	0	-	596	villous	0	-	1-2(-5.5) cm long	1	2	pinnately veined, secondary veins 3-5 per side, originating from lower 3/4 or more of primary vein, anastomosing, impressed above, prominent below like tertiary veins, those loosely reticulate. 	3	5	0	-	0	-	0	-	0	-	0	-	Stem villous often with white hairs. 	0	-	0	-	106	hairs,villous	0	-	2415	white	-	-	-	often on rocks and in humid places in primary forest, 	0	-	0	-	up to 800 m	-	800
Piper hymenophyllum 	Fruits obovoid to depressed globose, glabrous,      	3814	globose,ovoid	0	-	0	-	71	glabrous	0	-	-	0	-	0	-	0	-	0	-	0.5-1 mm long	-	-	-	-	-	-	0	-	stigmas 3 or 2, recurved, 	-	-	0	-	0	-	127	recurved	Scandent or creeping shrub, climbing branches rooting at nodes. 	-	-	0	-	0	-	22	creeping	-	-	-	-	-	-	0	-	0	-	0	-	floral bracts pubescent at base, densely marginally fringed; 	0	-	0	-	386	pubescent	0	-	0	horizontally oriented? later recurved	127	recurved	peduncle |, pubescent or glabrescent; 	-	-	0	-	392	pubescent or glabrescent	0	-	0.8-2 cm long	0.8	2	-	0	-	-	0	-	0	-	spike protandrous (presenting staminate flowers first, pistillate flowers afterwards), |, green, not apiculate; 	616	apiculate	0	-	782	green	1-3.5 cm long	1	3.5	-	0	-	0	-	-	-	-	-	-	0	-	-	-	-	0	-	0	-	-	-	-	blade not conspicuously glandular-dotted, |, subobovate or ovate, 	4306	ob,ovate	0	-	0	-	0	-	apex (long-)acuminate, 	124	acuminate	0	-	base unequally attached to petiole difference |, unequally cordate or obtuse, glabrescent but veins may be recurved-pubescent; 	2172	cordate or obtuse	71	glabrescent,pubescent	127	recurved	0	-	0.1-0.7 cm	0.1	0.7	4-17 x 3-6.5 cm, (on young creeping branches ca. 1.5-5 x 0.8-1.8 cm	17	-	-	3-6.5	3	6.5	4	17	22	creeping	margin occasionally ciliate, 	-	-	0	-	1	ciliate	0	elliptic	-	-	0	-	-	0	-	Petiole |, pubescent, vaginate to apex; 	-	-	0	-	0	-	386	pubescent	0	-	0.5-1 cm long	-	-	pinnately veined, secondary veins 6-8 per side, originating from throughout primary vein, impressed above, prominent below, tertiary veins inconspicuously reticulate. 	6	8	0	-	0	-	0	-	0	-	0	-	Stem ridged, pubescent with recurved hairs. 	0	-	0	-	106	hairs,pubescent	127	recurved	0	-	-	-	-	-	0	-	0	-	-	-	-
